Country,CO2,Country.1,PM,Public Transport,Landfill,Recycle,Water Reuse,Water Stress,Accommodation,Temp_x,Energy Use,Temp_y
Hungary,1515.8544,30.977951,14.24457,92.27857,0.386999999,25.94,562.5,0.43,2183.9454,12.62,168.31352,12.62
Iceland,2497.5813,52.580658,5.78865,91.4,0.656000018,55.81,575.1,,52.580658,2.11,0,2.11
India,227.13255,4.377647,50.17359,38.800003,0.140283577,5,559.9,4.11,1150.33903,,67.50978,
Indonesia,525.8033,14.381496,19.3398,32.93333,0.249697973,7,521.2,2.67,1239.641865,25.96,275.93823,25.96
Iran,1588.5083,27.813694,31.61622,38.003704,,,1325,4.65,4511.1801,,1987.3945,
Iraq,928.9649,17.018166,39.28878,8.1,0.363831212,,2646,4.15,2607.40979,23.81,2253.432,23.81
Ireland,2207.43,43.05271,8.19503,90.18,0.598000007,33,,0.36,3379.6378,,15.655531,
Israel,2053.1372,38.448257,19.47101,,0.644383719,25,293.4,4.94,3945.88991,20.23,72.50243,20.23
Italy,1741.5558,30.191664,14.22481,94.53265,0.49899999,25.9,787.6,3.34,2735.0293,14.38,46.629345,14.38
Jamaica,915.767,17.610905,14.8314,32.9,0.365,,,,1081.30949,26.02,908.72266,26.02
Japan,1491.7089,26.48051,10.83519,56.8,0.337629831,4.9,670.5,1.97,4821.77326,12.42,34.24066,12.42
Jordan,696.5008,12.437513,25.87215,7.3,0.300708127,7,162.6,4.62,971.90285,19.77,28.428602,19.77
Kazakhstan,1181.4553,31.44558,26.50215,34.71111,0.277507137,2.92,1312,2.51,8746.8624,8.06,3433.0586,8.06
Kenya,196.30446,3.5021455,12.52415,29.785715,0.13531024,8,,0.79,237.77725,25.22,0.18432344,25.22
Kiribati,229.91501,,7.61811,,0.312284868,,,,229.915006,27.77,0,27.77
Kuwait,3756.389,69.72416,64.07714,39,0.583706322,,447.2,5,13519.95026,27.58,6654.2993,27.58
Kyrgyzstan,208.45938,2.8753016,37.58464,53.309093,,,2005,3.28,1048.04742,,287.53015,
Laos,337.34586,5.2916994,21.15498,,,,,0.74,2129.90908,,7.937549,
Latvia,1626.7432,26.580772,12.02183,89.700005,0.439000002,21.23,110.6,0.57,1100.4439,7.4,42.529232,7.4
Lebanon,1112.3699,22.630373,24.234,23.85,0.364072537,8,406.8,5,436.94029,15.66,1.7407979,15.66
Lesotho,218.71194,,17.59755,,0.037370107,,23.24,2.95,74.36206,12.64,0,12.64
